name,matrix_file,artifact_dir,NROWS,NCOLS,mapping,enabled,XPERCOL,ROWSPERPE,MAX_NNZ,MIN_NNZ,matrix_nrows,matrix_ncols,nnz,category,valid
stokes.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/stokes.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/stokes.073026.256x256.random,256,256,random,0,44725,44725,50093,4820,11449533,11449533,349321980,Semiconductor Process Problem,0
stokes.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/stokes.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/stokes.073026.384x384.blocked,384,384,blocked,0,29817,29817,1070725,0,11449533,11449533,349321980,Semiconductor Process Problem,0
stokes.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/stokes.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/stokes.073026.384x384.cyclic,384,383,cyclic,0,29895,29817,3950,1962,11449533,11449533,349321980,Semiconductor Process Problem,0
stokes.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/stokes.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/stokes.073026.384x384.random,384,384,random,0,29817,29817,32269,2051,11449533,11449533,349321980,Semiconductor Process Problem,0
stokes.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/stokes.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/stokes.073026.512x512.blocked,512,512,blocked,0,22363,22363,572544,0,11449533,11449533,349321980,Semiconductor Process Problem,0
stokes.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/stokes.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/stokes.073026.512x512.cyclic,512,511,cyclic,0,22407,22363,2267,1087,11449533,11449533,349321980,Semiconductor Process Problem,0
stokes.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/stokes.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/stokes.073026.512x512.random,512,512,random,0,22363,22363,23807,1095,11449533,11449533,349321980,Semiconductor Process Problem,0
twitter7.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/twitter7.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/twitter7.073026.256x256.blocked,256,256,blocked,0,162705,162705,3465667,346,41652230,41652230,1468365182,Directed Graph,0
twitter7.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/twitter7.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/twitter7.073026.256x256.cyclic,256,255,cyclic,0,163343,162705,40881,16230,41652230,41652230,1468365182,Directed Graph,0
twitter7.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/twitter7.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/twitter7.073026.256x256.random,256,256,random,0,162705,162705,40201,16287,41652230,41652230,1468365182,Directed Graph,0
twitter7.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/twitter7.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/twitter7.073026.384x384.blocked,384,384,blocked,0,108470,108470,2218487,113,41652230,41652230,1468365182,Directed Graph,0
twitter7.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/twitter7.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/twitter7.073026.384x384.cyclic,384,383,cyclic,0,108753,108470,18792,6745,41652230,41652230,1468365182,Directed Graph,0
twitter7.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/twitter7.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/twitter7.073026.384x384.random,384,384,random,0,108470,108470,21524,6975,41652230,41652230,1468365182,Directed Graph,0
twitter7.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/twitter7.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/twitter7.073026.512x512.blocked,512,512,blocked,0,81353,81353,1653636,52,41652230,41652230,1468365182,Directed Graph,0
twitter7.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/twitter7.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/twitter7.073026.512x512.cyclic,512,511,cyclic,0,81512,81353,14015,3647,41652230,41652230,1468365182,Directed Graph,0
twitter7.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/twitter7.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/twitter7.073026.512x512.random,512,512,random,0,81353,81353,15383,3694,41652230,41652230,1468365182,Directed Graph,0
